中文名,英文名,建议摄入量,不适宜人群,简介
圆苞车前子壳,Psyllium husk,暂无数据,均适宜,圆苞车前子壳是人工种植的车前科车前属圆苞车前（拉丁学名：Plantago ovata）种子的外壳，因富含可溶性膳食纤维，被广泛应用于药品、保健品、食品、饮料以及饲料产品中。
奇亚籽,Chia Seed,暂无数据,均适宜,奇亚（Chia Seed）又名奇雅子、奇亚籽，学名芡欧鼠尾草（Salvia Hispanica L.），薄荷类植物，原产地为墨西哥南部和危地马拉等北美洲地区。可生长在荒漠带海拔4000英尺以下的地区，人们通常所指的奇亚，其实是该植物的种子——奇亚籽。 它是富含omega-3脂肪酸最丰富的食物，并且含有天然抗氧化剂。
塔格糖,Tagatose,暂无数据,均适宜,塔格糖(Tagatose)是以乳糖为原料，经水解获得半乳糖（因乳糖是半乳糖和葡萄糖结合生成的还原性双糖），半乳糖是葡萄糖的同分异构体，同样是一种己醛糖，然后经异构化酶处理半乳糖转化生成含酮基的六碳己酮糖。塔格糖(Tagatose)是一种天然来源的新型 单糖，是果糖的一种“差向异构体”；甜度为同 量蔗糖的92%，是一种很好的低能量食品甜味剂 和填充剂，并具有抑制高血糖、改善肠道菌群、 不致龋齿等多种生理功效，广泛应用于食品、医 药、化妆品等领域。2001年，美国FDA批准塔 格糖为GRAS¨o。
耳叶牛皮消,翻译暂缺,暂无数据,均适宜,牛皮消（Cynanchum auriculatum Royle ex Wight）是夹竹桃科鹅绒藤属的草质缠绕藤本植物。根呈块状；茎被微柔毛或近无毛；叶对生呈宽卵形；花梗被微柔毛，花萼裂片披针形，裂片披针形或披针状长圆形，内面具窄三角形舌状附属物；蓇葖果长圆状披针形；种子卵圆形；花期6-8月，果期8-12月； 其藤茎浆能治寻常疣赘，可使厚硬如牛皮的疣赘肿块消退，故名“牛皮消”。
戊糖片球菌,P.pentosaceus,暂无数据,均适宜,戊糖片球菌，圆形菌落，乳白色，光滑，凸起，边缘整齐，不透明，革兰氏阳性，球菌。
乳酸片球菌,翻译暂缺,暂无数据,均适宜,乳酸片球菌，拉丁名：Pediococcusacidilactici ，是片球菌属 、乳酸片球菌种 。
杜仲雄花,翻译暂缺,≤6克/天,婴幼儿、孕妇不宜食用。,杜仲是雌雄双株的树，雄花就是杜仲雄树开的花。杜仲，又名思仙(《本经》)。地球上只有一属一种，在第四纪冰期来临时，便在欧洲和亚州部分地区消失，只在亚州中国的中部地区存活，故有“植物活化石”的美称。
柳叶蜡梅,翻译暂缺,暂无数据,婴幼儿、孕妇不宜食用。,柳叶蜡梅（Chimonanthus salicifolius H. H. Hu）是蜡梅科蜡梅属半常绿灌木。柳叶蜡梅老枝被微毛；叶近革质，线状披针形、长卵状披针形或长椭圆形；花淡黄色，具短梗；果托梨形，长卵状椭圆形，顶端缢缩；花期8-10月，果期10-12月。
水飞蓟籽油,翻译暂缺,暂无数据,均适宜,暂无介绍
壳寡糖,Chitosan oligosaccharide,≤0.5克/天,均适宜,壳寡糖，又叫壳聚寡糖、低聚壳聚糖，是将壳聚糖经特殊的生物酶技术（也有使用化学降解、微波降解技术的报道）降解得到的一种聚合度在2~20之间寡糖产品，分子量≤3200Da，是水溶性较好、功能作用大、生物活性高的低分子量产品。它具有壳聚糖所没有的较高溶解度，全溶于水，容易被生物体吸收利用等诸多独特的功能，其作用为壳聚糖的14倍。
五指毛桃,翻译暂缺,暂无数据,均适宜,粗叶榕（Ficus hirta Vahl），桑科榕属木本植物小灌木，叶互生，纸质，长椭圆状卵形或宽卵形，具细锯齿；榕果成对腋生或生于落叶枝上，球形或椭圆状球形； 雌雄异株，一年到头皆有不同发育阶段的花序，序内开花同步，株内开花异步，雌花序有长柱，雄花序中有短柱雌花；花果期4—6月。 据清·萧步丹的《岭南采药录》记载“五爪龙，别名五龙根，火龙叶，木本，其叶五歧，有毛，而气清香”，亦是指桑科的粗叶榕。
显齿蛇葡萄叶,翻译暂缺,暂无数据,均适宜,来源于葡萄科蛇葡萄属显齿蛇葡萄。有效成分二氢杨梅素具有抗氧自由基的作用，能抑制体内血栓的形成，对降血脂等有独特效果。
马克斯克鲁维酵母,翻译暂缺,暂无数据,均适宜,马克斯克鲁维酵母是Kluyveromyces属的微生物，原产地为中国。
磷虾油,Krill oil,≤3克/天,婴幼儿、孕妇、哺乳期妇女及海鲜过敏者不宜食用。,“磷虾油”是国家卫生部门于2013年批准的新食品原料，以磷虾为原料，经水洗、破碎、提取、浓缩、过滤等步骤制得的暗红色或红褐色透明油状液体 。它富含磷脂型Omega-3多不饱和脂肪酸，与鱼油所含甘油三酯型的不同，其Omega-3多不饱和脂肪酸是链接在磷脂酰胆碱(PC)上的 。磷虾油的磷脂含有天然的二十碳五烯酸（EPA）和二十二碳六烯酸（DHA），这是一种抗炎脂肪酸，可以保持细胞膜健康平衡，抵御毒性、氧化和炎症攻击 。
中链甘油三酯,medium chain triglycerides,暂无数据,均适宜,中链甘油三酯即中链脂肪，天然存在于棕榈仁油、椰子油等食品和母乳中，是膳食脂肪的来源之一，主要成分是“辛，癸酸甘油酯”。
低聚甘露糖,Mannose oligosaccharides,≤1.5克/天,均适宜,"低聚甘露糖（Mannose oligosaccharides）是由D-甘露糖通过β-1, 4糖苷键连接形成主链，在主链或支链上连接葡萄糖而成，聚合度在2～10之间的寡糖。它是一种新型的益生元，能大量激活与增殖双歧杆菌和乳酸菌，调节微生态平衡。"
青钱柳叶,翻译暂缺,暂无数据,均适宜,青钱柳叶，中药名。为胡桃科植物青钱柳Cyclocarya paliurus （Batal.）Iljin.[Pterocarya paliurus Batal.;P. micropaliurus Tsoong]的叶。分布于陕西南部、江苏、安徽、浙江、江西、福建、台湾、湖北、湖南、广东、广西、四川、贵州、云南等地。具有祛风止痒之功效。常用于皮肤癣疾。
光皮梾木果油,翻译暂缺,暂无数据,均适宜,"光皮梾木果油是以山茱萸科梾木属光皮梾木的果实为原料，经压榨、过滤、脱色、脱臭等工艺而制成。2013年10月30日,国家卫生和计划生育委员会公告2013年 第4号批准光皮梾木果油为新食品原料。"
长柄扁桃油,Amygdalus pedunculatus pall Oil,暂无数据,均适宜,长柄扁桃( Amygdalus pedunculata Pall. )俗称“野樱桃”或“毛樱桃”，属蔷薇科( Rosaceae)桃属( Amygdalus) 扁桃亚属( Amygdalus) 落叶灌木。主要分布于榆林境内的毛乌素沙地。
溪黄草（后更名为“狭基线纹香茶菜”）,翻译暂缺,≤8克/天,婴幼儿、少年儿童及孕妇不宜食用。,暂无介绍
丹凤牡丹花,翻译暂缺,暂无数据,均适宜,暂无介绍
"1,6-二磷酸果糖三钠盐",翻译暂缺,≤ 300毫克/天,婴幼儿、孕妇不宜食用。,暂无介绍
裸藻,翻译暂缺,暂无数据,均适宜,眼虫是眼虫属生物的统称，在植物学中称裸藻，也称绿虫藻，是一类介于动物和植物之间的单细胞真核生物。鞭毛纲，眼虫科。体小，长梭形。前端钝圆，后端尖削，中央有一大的胞核。体外表膜具细的斜纹。
牛蒡根,翻译暂缺,暂无数据,均适宜,牛蒡根，中药名。为菊科植物牛蒡Arctium lappa L.的根。牛蒡分布于东北、西北、中南、西南及河北、山西、山东、江苏、安徽、浙江、江西、广西等地。具有散风热，消毒肿之功效。常用于风热感冒，头痛，咳嗽，热毒面肿，咽喉肿痛，齿龈肿痛，风湿痹痛，癓瘕积块，痈疖恶疮，痔疮脱肛。
以可食用的动物或植物蛋白质为原料，经《食品添加剂使用标准》（GB2760-2011）规定允许使用的食品用酶制剂酶解制成的物质,翻译暂缺,暂无数据,均适宜,暂无介绍
天贝,tempeh,暂无数据,均适宜,丹贝（tempeh）是一种发源于印尼的发酵食品，又名天培、天贝等。根霉属真菌中的寡孢根霉菌（Rhizopus oligosporus）为制作丹贝的主要菌种之一。
沙棘叶,翻译暂缺,暂无数据,均适宜,暂无介绍
冬青科苦丁茶,翻译暂缺,暂无数据,均适宜,暂无介绍
小麦苗,翻译暂缺,暂无数据,均适宜,"小麦苗，为禾本科小麦属植物Triticum aestivum L.小麦的嫩茎叶。全球广栽培，品种或类型极多。中国各地均有栽培, 为中国北方主要粮食作物。具有清热解毒之功效。常用于除烦热，疗黄疸，解酒毒等。"
茶藨子叶状层菌发酵菌丝体,翻译暂缺,≤50克/天,婴幼儿、儿童及食用真菌过敏者不宜食用。,茶藨子叶状层菌发酵菌丝体--来源于茶藨子叶状层菌﹝Phylloporia ribis（Schumach:Fr.）Ryvarden﹞，也称金银花菌。是一种新资源食品，是茶藨子叶状层菌（从金银花植株上分离）经接种培养、发酵、干燥、粉碎等步骤制得。
阿萨伊果,翻译暂缺,暂无数据,均适宜,暂无介绍
广东虫草子实体,Cordyceps guangdongensis,≤3克/天,婴幼儿、儿童及食用真菌过敏者不宜食用。,广东虫草由广东省科学院 广东省微生物研究所李泰辉研究员团队于2008年发表的虫草新种 ，子实体呈灰褐色带橄榄绿色。2013年获国家卫生部正式批准为“新资源食品”。现已规模化栽培，可以成为人们餐桌上的美食，开发潜力巨大。
盐肤木果油,Sumac Fruit Oil,暂无数据,均适宜,盐肤木果油，主要成分有亚油酸，油酸，棕榈酸等，为金黄色透明油状液体，婴幼儿慎用。
美藤果油,Sacha inchi oil,暂无数据,均适宜,美藤果油，来源于美藤果种籽 ，经脱壳、粉碎、压榨、过滤等工艺而制成的淡黄色透明油状液体，2013年1月美藤果油获批为国家新资源食品 ，可添加到食品当中。
盐地碱蓬籽油,翻译暂缺,暂无数据,均适宜,盐地碱蓬籽油，来源于藜科碱蓬属盐地碱蓬（Suaeda salsa(L.)pall）种子，以盐地碱蓬种子为原料，经萃取、脱色、过滤等工艺而制成的植物油脂。
茶树花,翻译暂缺,暂无数据,均适宜,茶树花内含成分具有解毒、抑菌、降糖、延缓衰老、防癌抗癌和增强免疫力等功效，其蛋白质、茶多糖、茶多酚、活性抗氧化物质超出茶叶中同类物质含量，农药残留和重金属含量低于欧盟标准。茶树花是一种优质蛋白营养源，可与世界公认的抗氧化植物迷迭香媲美。
梨果仙人掌,翻译暂缺,暂无数据,均适宜,梨果仙人掌（OPUNTIA ficus-indica (L.) Mill.）是仙人掌科仙人掌属的肉质灌木或小乔木植物，川西俗称“仙桃”，植株高1.5-5米。枝叶呈淡绿色或灰绿色，宽椭圆形、倒卵状椭圆形至长圆形，表面平坦，具多数小窠； 开花时花朵橙红鲜艳，果实成熟时，形状犹如梨一般，所以就被叫作梨果仙人掌； 花期在5-6月。
蔗糖聚酯,"Fatty Acid Sucrose Polester,SPE",≤10.6 克/天,婴幼儿不宜食用。,脂肪酸蔗糖聚酯是蔗糖在适当的条件下可以与8个以内的脂肪酸分子脱水缩合形成的。
辣木叶,horseradishtreeleaves,暂无数据,均适宜,辣木叶指原产于印度的多年生热带落叶乔木辣木树（又称为鼓槌树）的树叶。
乌药叶,翻译暂缺,≤5克/天,婴幼儿、儿童、孕期及哺乳期妇女不宜食用。,乌药叶，中药名。为樟科植物乌药Lindera aggregata（Sims.）Kosterm.的叶。植物乌药，分布于我国陕西、安徽、浙江、江西、福建、台湾、湖北、湖南、广西、四川等地。具有温中理气，消肿止痛之功效。主治脘腹冷痛，小便频数，风湿痹痛，跌打伤痛，烫伤。
蛋白核小球藻,Chlorella pyrenoidosa,≤20克/天,均适宜,蛋白核小球藻（Chlorella pyrenoidosa）为绿藻门小球藻属普生性单细胞绿藻，是一种球形单细胞淡水藻类，是一种高效的光合植物，以光合自养生长繁殖，分布极广。蛋白核小球藻含有丰富的蛋白质、维生素、矿物质、食物纤维、核酸及叶绿素等。
玉米须,翻译暂缺,暂无数据,均适宜,玉米须 ，中药名。为禾本科植物玉蜀黍Zea mays L.的花柱和柱头。全国大部分地均产。夏、秋果实成熟时收集，除去杂质。鲜用或晒干生用。
人参（人工种植）,翻译暂缺,≤3克/天,孕妇、哺乳期妇女及14周岁以下儿童不宜食用。,暂无介绍
抗性糊精,Resistant Dextrin,作为普通食品。,均适宜,抗性糊精由淀粉加工而成，是将焙烤糊精的难消化成分用工业技术提取处理并精炼而成的一种低热量葡聚糖，属于低分子水溶性膳食纤维。作为一种低热量可溶性食品原料，在食品工业中具有的广阔的发展前景。
小麦低聚肽,翻译暂缺,≤6克/天,婴幼儿不宜食用,小麦低聚肽是从天然食品——小麦蛋白粉中提取的蛋白质，再经过定向酶切及特定小肽分离技术获得的小分子多肽物质。
中长链脂肪酸食用油,Medium-andlong-chaintriacylglyceroloil,≤30克/天,均适宜,中长链脂肪酸食用油--英文名称为Medium- and long-chain triacylglycerol oil，是一种新资源食品，是以食用植物油和中链甘油三酯为原料，通过脂肪酶进行酯交换反应，经蒸馏分离、脱色、脱臭等工艺而制成。
大麦苗,翻译暂缺,暂无数据,均适宜,大麦苗是禾本科大麦属植物，高0.5-1米。秆粗壮直立无毛；叶鞘松散抱茎，无毛或基部被柔毛；穗状花序稠密，穗轴每节着生小穗无柄；颖条状披针形被柔毛；芒边棱具细刺；颖果成熟时与稃体不易分离 ；花期3-4月，果期4-5月 。大麦苗作为药用植物始载于《本草纲目》 。
平卧菊三七,翻译暂缺,暂无数据,均适宜,平卧菊三七（Gynura procumbens (Lour.) Merr.）是菊科，菊三七属攀援草本植物，有臭气，茎匍匐，有条棱，分枝；叶具柄；叶片卵形，卵状长圆形或椭圆形，全缘或有波状齿，侧脉弧状弯，细脉不明显，上面绿色，下面紫色，两面无毛，叶柄无毛，顶生或腋生伞房花序，花序梗细长，常有线形苞片，总苞狭钟状或漏斗状，总苞片长圆状披针形，小花橙黄色；花冠管部细，裂片卵状披针形，花药基部钝，瘦果圆柱形，栗褐色，冠毛丰富，白色，细绢毛状。
柑橘纤维,翻译暂缺,暂无数据,均适宜,暂无介绍
蚌肉多糖,Hyriopsis cumingii polysacchride,≤2.5克/天,均适宜,蚌肉多糖是从育珠蚌肉中，运用现代科技手段提取分离出的具有保肝、护肝、美容、养颜、抗衰老功能的国家新资源食品。
养殖梅花鹿副产品（除鹿茸、鹿角、鹿胎、鹿骨外）,翻译暂缺,暂无数据,均适宜,暂无介绍
木犀科粗壮女贞苦丁茶,翻译暂缺,暂无数据,均适宜,暂无介绍
玛咖粉,翻译暂缺,≤25克/天,婴幼儿、哺乳期妇女、孕妇不宜食用。,玛咖粉，以玛咖为原料，经切片、干燥、粉碎、灭菌等步骤制成，已被卫生部批准作为新资源食品。主要种类有黑玛卡（也叫黑金根），蓝玛咖，紫玛咖，红玛咖。
牡丹籽油,Peony Seed  Oil,≤10克/天,均适宜,牡丹籽油，又称牡丹油，是由牡丹籽提取的木本坚果植物油，以牡丹籽仁为原料，经压榨、毛油过滤、脱色、脱臭、脱蜡、精密过滤等工艺制成。
元宝枫籽油,翻译暂缺,≤3克/天,均适宜,元宝枫籽油，新资源食品 ，是元宝枫的种子加工而成的植物油脂。
翅果油,翻译暂缺,≤15克/天,均适宜,翅果油树（Elaeagnus mollis Diels）是胡颓子科、胡颓子属落叶直立乔木或灌木，高可达10米，胸径达8厘米，芽球形，黄褐色。叶纸质，稀膜质，卵形或卵状椭圆形，叶柄半圆形，花灰绿。色，下垂，芳香，花梗被星状柔毛，萼筒钟状，裂片近三角形或近披针形，花药椭圆形，花柱直立，果肉棉质；果核纺锤形，栗褐色，子叶肥厚，含丰富的油脂。4-5月开花，8-9 月结果。
水苏糖,Stachyos,暂无数据,均适宜,"水苏糖（Stachyose）即水苏四糖，是蔗糖的葡萄糖基一侧以1,6-糖苷键结合2个α-半乳糖而形成的糖类，分子式C24H42O21，纯品为白色粉末，微甜，甜度为蔗糖的22%，口感清爽，无异味。溶于水，不溶于乙醚、乙醇等有机溶剂。"
表没食子儿茶素没食子酸酯,（-)-Epigallocatechin gallate,≤300毫克/天（以EGCG计）,均适宜,表没食子儿茶素没食子酸酯（Epigallocatechin gallate，EGCG）是茶多酚中最有效的活性成分，属于儿茶素。EGCG具有抗菌、抗病毒、抗氧化、抗动脉硬化、抗血栓形成、抗血管增生、抗炎以及抗肿瘤作用。绿茶里有EGCG，但红茶里没有。因为红茶里的EGCG被转化成了茶玉红精（Thearubigin）。EGCG在医药保健上具有防治癌症等多种疾病和增强免疫力等功能；在食品工业上可作抗氧、抑菌、保鲜、祛臭剂；在日化产品上作特殊功能的保质剂、护肤剂。
雨生红球藻,翻译暂缺,≤0.8克/天,均适宜,红球藻是一种淡水单胞绿藻，隶属绿藻门、团藻目、红球藻科、红球藻属 。该藻能大量累积虾青素而呈现红色，故名红球藻，又称雨生红球藻。红球藻是科学界发现的继螺旋藻、小球藻之后，富含营养价值和药用价值的藻类食品。
磷脂酰丝氨酸,Phosphatidylserine,≤600毫克/天,均适宜,磷脂酰丝氨酸是存在于细菌、酵母、植物、哺乳动物细胞中的一种重要的膜磷脂。
玉米低聚肽粉,Corn oligopeptides powder,≤4.5克/天,婴幼儿不宜食用,玉米低聚肽粉--拉丁文名称为Corn oligopeptides powder，其是以玉米蛋白粉为原料，经调浆、蛋白酶酶解、分离、过滤、喷雾干燥等工艺生产而成的。是一种新资源产品，可应用于降血压、醒酒护肝、增强免疫。
针叶樱桃果,翻译暂缺,暂无数据,均适宜,暂无介绍
雪莲培养物,Tissue culture of Saussurea involucrata,鲜品≤80 克/天、干品≤4 克/天,不适宜人群：婴幼儿、孕妇,雪莲培养物，是在无菌条件下，将雪莲离体的植物器官、组织、细胞、胚胎或原生质体培养在人工配制的培养基上，在人工控制的条件下进行培养，使其组织或细胞增值进而按照需要进行培养的技术；或使其脱分化产生愈伤组织，并再逐步分化出器官并长成完整的植株而生产的培养物。
酵母β-葡聚糖,翻译暂缺,≤250毫克/天,均适宜,《酵母β-葡聚糖》是204年07月01日实施的一项行业标准。
诺丽果浆,Noni Puree,暂无数据,均适宜,诺丽果浆是一种含诺丽果果肉的混浊液体，为饮品。
显脉旋覆花|小黑药,翻译暂缺,≤5克/天,不适宜人群：婴幼儿,暂无介绍
金花茶,翻译暂缺,≤20克/天,不适宜人群：婴幼儿、孕妇,金花茶（Camellia petelotii (Merr.) Sealy）山茶科山茶属木本植物。幼枝浅褐色，当年生小枝略带紫色棕色，无毛；叶革质，上面深绿色，发亮，无毛，下面浅绿色；花瓣为金黄色，肉质；果实扁球形，先端凹；种子为棕色，半球形。花期11-12月。 金花茶因花朵纯黄似金而得名。
鸡蛋花,翻译暂缺,暂无数据,均适宜,鸡蛋花（Plumeria rubra L.）是夹竹桃科、鸡蛋花属落叶灌木或小乔木。枝条粗壮，带肉质；叶厚纸质；中脉在叶面凹入，侧脉两面扁平。聚伞花序顶生；总花梗三歧，肉质；花梗淡红色；花萼裂片小，卵圆形；花冠外面白色，花冠筒外面及裂片外面左边略带淡红色斑纹，花冠内面黄色；花冠裂片阔倒卵形，顶端圆，基部向左覆盖；雄蕊着生在花冠筒基部，花丝极短，花药长圆形。蓇葖双生，广歧，圆筒形，向端部渐尖；种子斜长圆形，扁平，顶端具膜质的翅。花期5-10月，果期栽培极少结果，一般为7-12月。
布渣叶|破布叶,翻译暂缺,暂无数据,均适宜,暂无介绍
夏枯草,翻译暂缺,暂无数据,均适宜,夏枯草（Prunella vulgaris L.）是唇形科、夏枯草属多年生草木植物，叶为对生的卵形或椭圆状披针形，轮伞花序集成穗状；苞片肾形，顶端骤尖或尾状尖，外面和边缘有毛；花萼二唇形；花冠为紫色；小坚果为棕色。花期4~6月，果期7~10月。 每至夏至，夏枯草会枯黄萎谢，故名，名字最早出自《神农本草经》。 [8-9]  
凉粉草|仙草,翻译暂缺,暂无数据,均适宜,暂无介绍
玫瑰花|重瓣红玫瑰,翻译暂缺,暂无数据,均适宜,暂无介绍
御米油,poppy-seed oil,≤25克/天,不适宜人群：婴幼儿,罂粟籽油是罂粟籽榨出来的油脂。主要用于油画的干燥。相关部门对此种作物有严格监管。
