中文名,英文名,建议摄入量,不适宜人群,简介
黑麦花粉,翻译暂缺,≤1.5克/天（推荐食用量）,婴幼儿、孕妇、哺乳期妇女，以及花粉过敏者,暂无介绍
蓝莓花色苷,Blueberry Anthocyanins,≤800 毫克/天（推荐食用量）,婴幼儿、孕妇和哺乳期妇女不宜食用,"蓝莓花色苷是以杜鹃花科越橘属蓝莓的果实为原料, 经酶解、水提取、纯化、浓缩、干燥等工艺制成的粉状物质。"
红糖低聚果糖（后更名为低聚果糖（红糖来源））,翻译暂缺,暂无数据,均适宜,暂无介绍
假肠膜明串珠菌,翻译暂缺,暂无数据,均适宜,假肠膜明串珠菌是Leuconostoc属的微生物，原产地为中国。
瓜蒌子,翻译暂缺,暂无数据,均适宜,栝楼子，中药名。为葫芦科植物栝楼Trichosanthes kirilowii Maxim.及中华栝楼Trichosanthes rosthornii Harms的的成熟种子。栝楼分布于华北、中南、华东及辽宁、陕西、甘肃、四川、贵州、云南。中华栝楼分布于甘肃东南部、陕西南部、江西、湖北西南部，四川东部、贵州、云南东北部。具有清肺化痰，滑肠通便之功效。常用于痰热咳嗽，肺虚燥咳，肠燥便秘，痈疮肿毒。
N-乙酰神经氨酸（唾液酸）（后更名为N-乙酰神经氨酸）,翻译暂缺,暂无数据,均适宜,暂无介绍
金莲花,翻译暂缺,暂无数据,均适宜,金莲花（Trollius chinensis Bunge），毛茛科金莲花属多年生草本植物。 基生叶是五角形状，三全裂，边缘呈现锯齿状；两侧的裂片二深裂接近底部；萼片黄色，椭圆状卵形或倒卵形；花瓣属于窄而长；金黄色的花单生或者两三朵组成花序；种子近似倒卵形，是光滑的黑色；花期6~7月，果期8~9月。 因其叶片酷似小型莲叶，花色又是艳丽的金黄色，故而得名“金莲花”。
甘蔗多酚,翻译暂缺,≤1 克/天（粉体）；≤10 克/天（液体）（总多酚含量为 200 g/kg 的粉体推荐食用量为 1 克/天，总多酚含量为 14.8 g/kg 的液体推荐食用量为 10 克/天，超过上述含量的按照实际含量折算）,婴幼儿、孕妇及哺乳期妇女,暂无介绍
长双歧杆菌长亚种 BB536,翻译暂缺,暂无数据,均适宜,暂无介绍
莱茵衣藻,Chlamydomonas reinhardi,暂无数据,均适宜,莱茵衣藻（拉丁学名 ：Chlamydomonas reinhardtii ，又称“莱氏衣藻” 、“莱哈衣藻” ，简称“衣藻” ）。
吡咯并喹啉醌二钠盐,翻译暂缺,≤20 毫克/天,婴幼儿、孕妇和哺乳期妇女不宜食用,暂无介绍
关山樱花,翻译暂缺,暂无数据,婴幼儿、孕妇和哺乳期妇女不宜食用,暂无介绍
食叶草,翻译暂缺,暂无数据,婴幼儿、孕妇、哺乳期妇女不宜食用,食叶草
拟微球藻,翻译暂缺,≤2克/天（以干品计）,婴幼儿、孕妇及哺乳期妇女不宜食用,拟微球藻， 又叫微拟球藻，或微绿球藻、眼状微拟球藻等， 含有二十碳五烯酸（EPA）等营养成分。2021年4月由国家卫健委批准为新食品原料。
鼠李糖乳杆菌MP108,翻译暂缺,暂无数据,均适宜,鼠李糖乳杆菌MP108（Lactobacillus?rhamnosus?MP108）从健康幼儿肠道分离得到，菌粉性状为白色至微棕色粉末，是锦旗生物五大明星菌株之一 ，含有该菌株的产品已在澳大利亚生产并上市，可用于婴幼儿食品。国内外开展的多项婴幼儿临床研究证明，该菌株具有较好的食用安全性 。
二氢槲皮素,Taxifolin,≤100毫克/天,婴幼儿、儿童（14岁及以下）、孕妇、哺乳期妇女不宜食用,紫杉叶素，学名为二氢槲皮素，存在于许多植物中，如橄榄油、葡萄、柑橘类水果、洋葱、松树(新疆落叶松、西藏长叶松和雪松等)、红豆杉、水飞蓟、樱桃、蚊母树、刺玫蔷薇等。
"β-1,3/α-1,3-葡聚糖",翻译暂缺,≤3克/天,婴幼儿、孕妇及哺乳期妇女不宜食用,暂无介绍
冬虫夏草,翻译暂缺,暂无数据,均适宜,冬虫夏草，中药名。为肉座菌目麦角菌科虫草属真菌冬虫夏草菌Cordyceps sinensis( BerK.)Sacc.寄生在蝙蝠蛾科昆虫幼虫上的子座及幼虫的尸体的复合体。具有补肾益肺，止血化痰功效。主治腰膝酸痛、久咳虚喘、劳嗽痰血。
雨生红球藻油（虾青素油）,翻译暂缺,暂无数据,均适宜,暂无介绍
堇叶碎米荠,翻译暂缺,暂无数据,均适宜,露珠碎米荠（Cardamine circaeoides Hook. f. & Thomson）即堇叶碎米荠，是十字花科碎米荠属多年生草本植物。露珠碎米荠茎、根状茎细长，无或有少数匍匐茎，无叶；叶为单叶，顶生小叶心形或卵形，基部心形，有时平截或近楔形，边缘波状或近全缘；花萼片卵形或长圆形，边缘膜质，花瓣白色，匙形；长角果线形，果柄上升、开展或反折，有时偏向于轴的一侧；种子卵圆形或宽长圆形；花果期2-7月。
羟丙基淀粉空心胶囊,翻译暂缺,暂无数据,均适宜,暂无介绍
果蔬粉（必须明确具体使用的果蔬粉名称）,翻译暂缺,暂无数据,均适宜,暂无介绍
姜黄素,Curcumin,暂无数据,均适宜,姜黄素又称姜黄色素、酸性黄，是从姜科植物姜黄、莪术、芥末、咖哩、郁金等根茎中提取的一种天然的酚类抗氧化剂，主链为不饱和脂族及芳香族基团，属二酮类化合物，是常用的调料及食用色素，无毒，化学式为C21H20O6。
辛，癸酸甘油酯,翻译暂缺,暂无数据,均适宜,暂无介绍
大豆磷脂,翻译暂缺,暂无数据,均适宜,大豆磷脂是从生产大豆油的油脚中提取的产物，是由甘油、脂肪酸、胆碱或胆胺所组成的酯，能溶于油脂及非极性溶剂。大豆磷脂的组成成分复杂，主要含有卵磷脂（约34.2%）、脑磷脂（约19.7%）、肌醇磷脂（约16.0%）、磷酯酰丝氨酸（约15.8%）、磷脂酸（约3.6%）及其他磷脂（约10.7%），为浅黄至棕色的黏稠液体或白色至浅棕色的固体粉末。
透明大豆磷脂,翻译暂缺,暂无数据,均适宜,暂无介绍
分提大豆磷脂,翻译暂缺,暂无数据,均适宜,暂无介绍
粉末大豆磷脂,翻译暂缺,暂无数据,均适宜,暂无介绍
浓缩大豆磷脂,翻译暂缺,暂无数据,均适宜,暂无介绍
磷脂,Phospholipid,暂无数据,均适宜,磷脂（Phospholipid），也称磷脂类、磷脂质，是指含有磷酸的脂类，属于复合脂。磷脂是组成生物膜的主要成分，分为甘油磷脂与鞘磷脂两大类，分别由甘油和鞘氨醇构成。磷脂为两性分子，一端为亲水的含氮或磷的头，另一端为疏水（亲油）的长烃基链。由于此原因，磷脂分子亲水端相互靠近，疏水端相互靠近，常与蛋白质、糖脂、胆固醇等其它分子共同构成磷脂双分子层，即细胞膜的结构。
无水枸橼酸,Citric Acid,暂无数据,均适宜,柠檬酸（CA），又名枸橼酸，分子式为C?H?O?，是一种重要的有机弱酸，为无色晶体，无臭，易溶于水，溶液显酸性。在生物化学中，它是柠檬酸循环（三羧酸循环）的中间体，柠檬酸循环发生在所有需氧生物的新陈代谢中。柠檬酸被广泛用作酸度调节剂（GB2760—2014）、调味剂和螯合剂。
枸橼酸,Citric Acid,暂无数据,均适宜,柠檬酸（CA），又名枸橼酸，分子式为C?H?O?，是一种重要的有机弱酸，为无色晶体，无臭，易溶于水，溶液显酸性。在生物化学中，它是柠檬酸循环（三羧酸循环）的中间体，柠檬酸循环发生在所有需氧生物的新陈代谢中。柠檬酸被广泛用作酸度调节剂（GB2760—2014）、调味剂和螯合剂。
碳酸镁,Magnesium carbonate,暂无数据,均适宜,碳酸镁是一种无机化合物，化学式为MgCO3，分子量84.31，相对密度3.037 。外观为白色颗粒性粉末。在350℃时分解，在700℃时失去二氧化碳 。微溶于冷水，缓慢溶于酸中。其三水合物为无色针状晶体，熔点165℃，相对密度1.850。其五水合物为白色单斜系晶体，相对密度1.73，在空气中加热分解。可由镁盐水溶液中一边通入二氧化碳，一边加入碳酸钠，得水合物，将水合物在50℃以下干燥可得无水物。 [2-3]  
食用甘薯淀粉,Edible sweet potato starch,暂无数据,均适宜,《食用甘薯淀粉》是2018年4月1日实施的一项中国国家标准。
薄荷脑,Menthol,暂无数据,均适宜,薄荷脑，也叫薄荷醇，是一种萜类有机化合物，化学式为C10H20O。薄荷脑系由薄荷的叶和茎中所提取，白色晶体，为薄荷和欧薄荷精油中的主要成分。薄荷醇一般有两种异构体（D型和L型），天然的薄荷醇主要为左旋异构体（L-薄荷醇），这里的薄荷脑一般指消旋的薄荷醇（DL-薄荷醇）。薄荷脑可用作牙膏、香水、饮料和糖果等的赋香剂。在医药上用作刺激药，作用于皮肤或粘膜，有清凉止痒作用。内服可作为驱风药，用于头痛及鼻、咽、喉炎症等。其酯也可用于香料和药物。
玉米油,corn oil,暂无数据,均适宜,玉米油，又叫粟米油、玉米胚芽油，它是从玉米胚芽中提炼出的油 。玉米胚芽脂肪含量在17%～45%之间，大约占玉米脂肪总含量的80%以上。 玉米油中的脂肪酸特点是不饱和脂肪酸含量高达80%～85%。玉米油本身不含有胆固醇，它对于血液中胆固醇的积累具有溶解作用，故能减少对血管产生硬化影响。对老年性疾病如动脉硬化、糖尿病等具有积极的防治作用。由于天然复合维生素E的功能，对心脏疾病、血栓性静脉炎、生殖机能类障碍、肌萎缩症、营养性脑软化症均有明显的疗效和预防作用。
异麦芽酮糖醇,翻译暂缺,暂无数据,均适宜,异麦芽酮糖醇是化学物质，白色无臭结晶，味甜，甜度约为蔗糖的45%~65%，稍吸湿。
棕榈油,Palm oil,暂无数据,均适宜,棕榈油是一种热带木本植物油，是世界上生产量、消费量和国际贸易量最大的植物油品种，与大豆油、菜籽油并称为“世界三大植物油”，拥有超过五千年的食用历史。
芝麻油,Sesame Oil,暂无数据,均适宜,香油，又叫芝麻油、麻油，是中国传统的调味植物油，它是从芝麻中榨取的油脂，有浓郁的炒芝麻香味。香油味纯正而耐回味，是日常生活中必不可少的调味佳品。无论凉菜、热菜还是做汤，它都堪称点晴之笔。
饮用水,drinking water,暂无数据,均适宜,饮用水是指可以不经处理、直接供给人体饮用的水。水是体液的主要组成部分，是构成细胞、组织液、血浆等的重要物质。水作为体内一切化学反应的媒介，是各种营养素和物质运输的平台。
食用玉米淀粉,corn starch,暂无数据,均适宜,玉米淀粉 （corn starch） 又称玉蜀黍淀粉又称苞米面。俗名六谷粉。白色微带淡黄色的粉末。 将玉米用0.3%亚硫酸浸渍后，通过破碎、过筛、沉淀、干燥、磨细等工序而制成。 普通产品中含有少量脂肪和蛋白质等。
食用盐,Salt,暂无数据,均适宜,食用盐，从分类上来说有井盐、海盐、池盐、岩盐等，从所含成分上来看包括了铁、钙、锌、钾、钠、碘等多种营养元素，人们用的食盐是盐类的一种，是指富含钠的盐类，也就是氯化钠。盐也是人体不能缺乏的重要元素，有调节人体活动的作用。
食用小麦淀粉,Edible wheat starch,暂无数据,均适宜,《食用小麦淀粉》是2008年国家标准化管理委员会主管发布的标准。
食用葡萄糖,Edible glucose,暂无数据,均适宜,被代替国标号 ReplacedStandard:
乳糖,lactose,暂无数据,均适宜,乳糖是人类和哺乳动物乳汁中特有的碳水化合物，是由葡萄糖和半乳糖组成的双糖，分子式为C12H22O11。在婴幼儿生长发育过程中，乳糖不仅可以提供能量，还参与大脑的发育进程。
乳粉,milk powder,暂无数据,均适宜,用冷冻或加热的方法，除去乳中几乎全部的水分，干燥后而成粉末。
葡萄糖浆,Glucose syrup,暂无数据,均适宜,葡萄糖浆是一种以淀粉为原料在酶或酸的作用产生的一种淀粉糖浆，主要成份为葡萄糖、麦芽糖、麦芽三糖、麦芽四糖及四糖以上等。 又称为液体葡萄糖，葡麦糖浆。
木薯淀粉,Tapioca,暂无数据,均适宜,木薯淀粉，是木薯经过淀粉提取后脱水干燥而成的粉末。木薯淀粉有原淀粉和各种变性淀粉两大类，广泛应用于食品工业及非食品工业。变性淀粉可根据用户提出的具体要求定制，以适用于特殊用途。
绵白糖,翻译暂缺,暂无数据,均适宜,绵白糖简称绵糖，也叫白糖，是我国人民比较喜欢的一种食用糖。它质地绵软、细腻，结晶颗粒细小，并在生产过程中喷入了2.5%左右的转化糖浆。而白砂糖的主要成分是蔗糖，故绵白糖的纯度不如白砂糖高。
麦芽糖,maltose,暂无数据,均适宜,"麦芽糖(maltose)是由两个葡萄糖单位经由 α-1,4 糖苷键连接而成的二糖，又称为麦芽二糖。因 C1 羟基位置不同，而有 α- 和 β- 两种异构体 。"
麦芽糊精,maltodextrin，MD,暂无数据,均适宜,麦芽糊精（MD），是一种多糖类食品原料，是一种介于淀粉和淀粉糖之间的低转化产品。外观上白色或略带浅黄色的无定形粉末，无肉眼可见杂质，具有特殊气味，味道上不甜或者微甜。
马铃薯淀粉,Potato Flour,暂无数据,均适宜,马铃薯淀粉（Potato Starch）是由清洗干净的土豆粉粹，过滤，沉淀，将得到的沉淀物烘干即可获得，它可以被用来作为增稠剂。太白粉(Potato Flour)通常也被称为马铃薯淀粉，不要将两者混为一谈。尽管用于勾芡浓稠度不及太白粉，但是在一些烘焙食品，它能保持水分。马铃薯粉比太白粉重量较重；马铃薯粉还有马铃薯的味道，而太白粉已经没有明显的味道。
炼乳,condensed milk,暂无数据,均适宜,炼乳是一种牛奶制品，用鲜牛奶或羊奶经过消毒浓缩制成的饮料，它的特点是可贮存较长时间。
葵花籽油,sunflower seed oil,暂无数据,均适宜,葵花子，又叫葵瓜子，是向日葵的果实。它的子仁中含脂肪30%-45%，最多的可达60%。葵花子油颜色金黄，澄清透明，气味清香，是一种重要的食用油。它含有大量的亚油酸等人体必需的不饱和脂肪酸，可以促进人体细胞的再生和成长，保护皮肤健康，并能减少胆固醇在血液中的淤积，是一种高级营养油。它颜色金黄、澄清透明，具有芳香气味 。葵花籽油在世界范围内的消费量在所有植物油中排在棕榈油、豆油和菜籽油之后，居第四位。全球葵花籽油产量稳定在1000万～1200万吨之间，葵花籽油是欧洲国家重要的食用油品种之一。国际上许多国家和地区都有食用，销量较高如中国台湾省、香港特别行政区，一衣带水的日本以及被称为亚洲四小龙的韩国。而让我们欣慰的是我们中国大陆百姓日常中烹饪中对葵花籽油依赖也越来越多，除了味道芳香以外更重要的是健康。葵花籽油在综上所述国家以及地区中消费比例高达70% 。
可可脂,cocoa butter,暂无数据,均适宜,可可脂是在制作巧克力和可可粉过程中自可可豆抽取的天然食用油。它只有淡淡的巧克力味道和香气，是制作真正巧克力的材料之一。一般称为白巧克力的糖果便单是由它制成。可可脂熔点约为摄氏34-38度（华氏93-100度），因此巧克力在室温时是固体而又很快在口中融化。
可可粉,cocoa powder,暂无数据,均适宜,可可粉是从可可树结出的豆荚（果实）里取出的可可豆（种子），经发酵、粗碎、去皮等工序得到的可可豆碎片（通称可可饼），由可可饼脱脂粉碎之后的粉状物，即为可可粉。可可粉按其含脂量分为高、中、低脂可可粉；按加工方法不同分为天然粉和碱化粉。可可粉具有浓烈的可可香气，可用于高档巧克力、饮品，牛奶，冰淇淋、糖果、糕点及其它含可可的食品。
花生油,翻译暂缺,暂无数据,均适宜,花生油(peanut oil)淡黄透明，色泽清亮，气味芬芳，滋味可口，是一种比较容易消化的食用油。花生油含不饱和脂肪酸80%以上（其中含油酸41.2%，亚油酸37.6%）。另外还含有软脂酸，硬脂酸和花生酸等饱和脂肪酸19.9%。花生油中还含有甾醇、麦胚酚、磷脂、维生素E、胆碱等。
红糖,brown sugar,暂无数据,均适宜,红糖（brown sugar）指带蜜的甘蔗成品糖，除了具备糖的功能外，还含有维生素与微量元素，营养成分比白砂糖高很多。
核桃油,Walnut oil,暂无数据,均适宜,核桃油是采用核桃仁为原料，压榨而成的植物油，属于食用油。
果糖,Fructose,暂无数据,均适宜,果糖是一种最为常见的己酮糖。存在于蜂蜜、水果中，和葡萄糖结合构成日常食用的蔗糖。果糖中含6个碳原子，也是一种单糖，是葡萄糖的同分异构体。它以游离状态大量存在于水果的浆汁和蜂蜜中，天然存在的果糖是以游离的D-果糖形式存在，果糖在自然条件下是以似油状的粘稠液的形式存在，而不以晶体的形式存在。
果葡糖浆,High fructose syrup,暂无数据,均适宜,果葡糖浆是由植物淀粉水解和异构化制成的淀粉糖晶，是一种重要的甜味剂。生产果葡糖浆不受地区和季节限制，设备比较简单，投资费用较低。因为它的组成主要是果糖和葡萄糖；故称为“果葡糖浆”。
橄榄油,olive oil,暂无数据,均适宜,橄榄油，属木本植物油，是由新鲜的油橄榄果实直接冷榨而成的，不经加热和化学处理，保留了天然营养成分，橄榄油被认为是迄今所发现的油脂中最适合人体营养的油脂 。
蜂蜜,honey,暂无数据,均适宜,蜂蜜，又称甘蜜，是蜜蜂酿制的蜜，糖的过饱和溶液。其在低温时会产生结晶。会生成结晶的是葡萄糖，不产生结晶的部分主要是果糖。
多晶体冰糖,翻译暂缺,暂无数据,均适宜,老冰糖又名土冰糖、老土冰糖、黄冰糖 、块冰糖、多晶体冰糖等，是以制糖中间产物糖浆或成品白砂糖为原料，经加水溶解、除杂、清汁、蒸发、浓缩并添加适当结晶剂后，逐步冷却结晶制成，经敲碎干燥后即主为成品，其生产周期约为7天。
单晶体冰糖,翻译暂缺,暂无数据,均适宜,《单晶体冰糖》是2002年12月1日实施的一项行业标准。
大豆油,翻译暂缺,暂无数据,均适宜,大豆油是从大豆中压榨提取出来的一种油，通常我们称之为“大豆色拉油”，是最常用的烹调油之一。大豆油的保质期最长也只有一年，质量越好的大豆油应该颜色越浅，为淡黄色，清澈透明．且无沉淀物，无豆腥昧，温度低于零摄氏度以下的优质大豆油会有油脂结晶析出。
赤砂糖,翻译暂缺,暂无数据,均适宜,赤砂糖，晶粒较大，晶面明显，色泽有红褐、赤红、青褐、黄褐等，无明显黑点。食时有浓甜的焦苦味，水分和还原糖比较多，浅者质量较好。赤砂糖在人们的日常膳食中是必不可少的调味品之一色，可食用，也可作调味料。
菜籽油,colza oil,暂无数据,均适宜,菜籽油就是我们俗称的菜油，又叫油菜籽油、香菜油、芸苔油、香油、芥花油，是用油菜籽榨出来的一种食用油。是我国主要食用油之一， 主产于长江流域及西南、西北等地，产量居世界首位。
白砂糖,white granulated sugar,暂无数据,均适宜,白砂糖是食糖的一种。其颗粒为结晶状，均匀，颜色洁白，甜味纯正，甜度稍低于红糖。烹调中常用。适当食用白糖有补中益气、和胃润肺、养阴止汗的功效。
聚乙烯吡咯烷酮,polyvinyl pyrrolidone（PVP）,暂无数据,均适宜,聚乙烯吡咯烷酮(polyvinyl pyrrolidone)，简称PVP，是一种非离子型高分子化合物，是N-乙烯基酰胺类聚合物中最具特色，被研究得最深、最广泛的精细化学品。已发展成为非离子、阳离子、阴离子3大类，工业级、医药级、食品级3种规格，相对分子质量从数千至一百万以上的均聚物、共聚物和交联聚合物系列产品，并以其优异独特的性能获得广泛应用。
共聚维酮,翻译暂缺,暂无数据,均适宜,共聚维酮是一种水溶性高分子树酯，为白色粉末，无臭无味，易吸潮，可溶于水、乙醇及无水醇类，具有良好的粘结性、吸湿性、成膜性和表面活性.
明胶空心胶囊,翻译暂缺,暂无数据,均适宜,明胶空心胶囊由药用明胶加辅料精制而成的帽、体两节胶囊壳组成，主要用于盛装固体药物。如自制散剂、保健品、药剂等，为服用者解决了难入口、口感差的问题。此外，胶囊上还可印上文字、商标和图案，呈现出独特的定制外观。
棕氧化铁,Brown Ferric Oxide,暂无数据,均适宜,本品为红棕色的粉末；无臭，无味。 本品在水中不溶，在沸盐酸中易溶。
蔗糖,sucrose,暂无数据,均适宜,蔗糖，是食糖的主要成分，是双糖的一种，由一分子葡萄糖的半缩醛羟基与一分子果糖的半缩醛羟基彼此缩合脱水而成。蔗糖有甜味，无气味，易溶于水和甘油，微溶于醇。有旋光性，但无变旋光作用。蔗糖几乎普遍存在于植物界的叶、花、茎、种子及果实中。在甘蔗、甜菜及槭树汁中含量尤为丰富。蔗糖味甜，是重要的食品和甜味调味品，有白砂糖、赤砂糖、绵白糖、冰糖、粗糖（黄糖）等蔗糖制品 。
预胶化淀粉,Pregelatinized Starch,暂无数据,均适宜,预胶化淀粉是改性淀粉，将淀粉用化学法或机械法将淀粉颗粒部分或全部破裂而得。在片剂中常用做粘合剂、稀释剂和崩解剂，预胶化淀粉有自润滑作用，与其他辅料合用时需加入硬脂酸镁做润滑剂。本品无毒、无刺激性，但大量口服有害。
乙基纤维素,Ethyl cellulose ether,暂无数据,均适宜,乙基纤维素是一种高分子化合物，化学式为(C12H22O5)n，常温下是白色或淡褐色粉末。
无水磷酸氢钙,Calcium hydrogen phosphate,暂无数据,均适宜,磷酸氢钙，是一种无机化合物，化学式为CaHPO4，为白色结晶性粉末，易溶于稀盐酸、稀硝酸、醋酸，微溶于水，不溶于乙醇，主要用作食品添加剂。
甘油三乙酯,翻译暂缺,暂无数据,均适宜,暂无介绍
羟丙纤维素,Hydroxypropyl cellulose,暂无数据,均适宜,羟丙纤维素是一种药剂辅料，为白色或类白色粉末；无臭，无味。
可溶性淀粉,solublestarch,暂无数据,均适宜,可溶性淀粉(solublestarch)，是淀粉经过氧化剂、酸、甘油、酶或其他方法处理而成的淀粉衍生物。用玉米、红薯、土豆的淀粉都可制成可溶性淀粉，但以红薯淀粉制得的可溶性淀粉质量最好。可溶性淀粉为白色或类白色粉末，无臭无味，不溶于冷水、乙醇和乙醚。在沸水中可溶解为透明溶液，冷却后不结冰，1%溶液为透明的乳状液体。可溶性淀粉无还原物质，化学性质稳定。
聚乙二醇,,暂无数据,均适宜,"聚乙二醇，是含有α, ω-双端羟基的乙二醇聚合物的总称 。"
聚维酮K30,Povidone K 30,暂无数据,均适宜,聚维酮K30，是一种有机化合物，分子式为（C6H9NO）n，白色至乳白色粉末；无臭或稍有特臭﹐无味。
交联羧甲基纤维素钠,Croscarmellose Sodium,暂无数据,均适宜,交联羧甲基纤维素钠为无味，白色或灰白色粉末。在片剂、胶囊剂和颗粒剂中用作崩解剂，通常被视为基本无毒、无刺激性的辅料。在片剂中常用量0.5%～5.0%。
交联聚维酮,翻译暂缺,暂无数据,均适宜,交联聚维酮，药用辅料，为水不溶性的合成交联N-乙烯基-2-吡咯烷酮均聚物。
黄氧化铁,Yellow Ferric Oxide,暂无数据,均适宜,黄氧化铁，黄色粉末；无臭，无味。 在水中不溶，在沸盐酸中易溶。取本品约0.1g，加稀盐酸5ml，煮沸冷却后，溶液显铁盐的鉴别反应
糊精,dextrin,暂无数据,均适宜,糊精是用来衡量原料蒸煮工艺的技术用语。淀粉在加热、酸或淀粉酶作用下发生分解和水解时，将大分子的淀粉首先转化成为小分子的中间物质，这时的中间小分子物质，人们就把它叫做糊精。
红氧化铁,Red Ferric Oxide,暂无数据,均适宜,即氧化铁，又称三氧化二铁。本品为暗红色的粉末；无臭，无味。本品在水中不溶；在沸盐酸中易溶
黑氧化铁,Magnetic materials,暂无数据,均适宜,能对磁场作出某种方式反应的材料称为磁性材料。按照物质在外磁场中表现出来磁性的强弱，可将其分为抗磁性物质、顺磁性物质、铁磁性物质、反铁磁性物质和亚铁磁性物质。大多数材料是抗磁性或顺磁性的，它们对外磁场反应较弱。铁磁性物质和亚铁磁性物质是强磁性物质，通常所说的磁性材料即指强磁性材料。对于磁性材料来说，磁化曲线和磁滞回线是反映其基本磁性能的特性曲线。铁磁性材料一般是Fe，Co，Ni元素及其合金，稀土元素及其合金，以及一些Mn的化合物。磁性材料按照其磁化的难易程度，一般分为软磁材料及硬磁材料。
低取代羟丙纤维素,Low-Substituted Hydroxypropyl Cellulose,暂无数据,均适宜,本品是低取代羟丙基纤维素醚，是一种多用途的非离子型纤维素衍生物，主要用作固体制剂崩解和粘合剂，由于它的粉末有较大的表面积和孔隙率，故能快速吸水膨胀，用于片剂时，使片剂快速崩解，同时它的粗糙结构与药物和颗粒之间有较大的镶嵌，可明显提高片剂硬度，同时不影响崩解，从而加速药物的溶出度，提高生物利用度
单糖浆,翻译暂缺,暂无数据,均适宜,单糖浆，赋形剂和调味剂。
纯化水,pure water,暂无数据,均适宜,深度脱盐水(pure water)又称去离子水、纯水。去除水中悬浮物和无机物的阳阴离子杂质，又将水中难以除去的电解质去除至一定程度的水。一般用膜分离、离子交换或将这些些方法综合应用制取。
γ-环状糊精,翻译暂缺,暂无数据,均适宜,暂无介绍
α-环状糊精,翻译暂缺,暂无数据,均适宜,暂无介绍
栀子蓝,gardenia blue,暂无数据,均适宜,栀子蓝（gardenia blue）是2020年公布的食品科学技术名词。
